ID	d1	ignore theme	d1	telugu	d1	english	d1	Clue	d1	Image	d1	Sound
982	|	Indian_Musical_Instruments	|	నగారా 	|	Nagara	|	నగారా _clue	|		|	
983	|	Indian_Musical_Instruments	|	నకుల వీణ 	|	Nakula Veena	|	నకుల వీణ _clue	|		|	
984	|	Indian_Musical_Instruments	|	నందుని 	|	Nanduni - Two stringed lute	|	నందుని _clue	|		|	
985	|	Indian_Musical_Instruments	|	నట్ 	|	Nut - clay pot	|	నట్ _clue	|		|	
986	|	Indian_Musical_Instruments	|	ఒనవిల్లు 	|	Onavillu	|	ఒనవిల్లు _clue	|		|	
987	|	Indian_Musical_Instruments	|	పక్వాజ్ లేక పక్వజ్ 	|	Pakhavaj	|	పక్వాజ్ లేక పక్వజ్ _clue	|		|	
988	|	Indian_Musical_Instruments	|	పక్వాజ్ జోరి 	|	Pakhavaj jori - sikh instrument similar to tabla	|	పక్వాజ్ జోరి _clue	|		|	
989	|	Indian_Musical_Instruments	|	పంబై 	|	Pambai	|	పంబై _clue	|		|	
990	|	Indian_Musical_Instruments	|	పంచముఖ వాద్యం 	|	Panchamukha vadyam	|	పంచముఖ వాద్యం _clue	|		|	
991	|	Indian_Musical_Instruments	|	పరై  తపు లేక హల్గి 	|	Parai thappu , halgi 	|	పరై  తపు లేక హల్గి _clue	|		|	
992	|	Indian_Musical_Instruments	|	పాటయాని డప్పు 	|	Patayani thappu 	|	పాటయాని డప్పు _clue	|		|	
993	|	Indian_Musical_Instruments	|	పెన లేక బన 	|	Pena or Bana	|	పెన లేక బన _clue	|		|	
994	|	Indian_Musical_Instruments	|	పేప 	|	Pepa	|	పేప _clue	|		|	
995	|	Indian_Musical_Instruments	|	పుల్లవన్ కుటం 	|	Pulluvan kutam (pot with one string attached to it)	|	పుల్లవన్ కుటం _clue	|		|	
996	|	Indian_Musical_Instruments	|	పుల్లవన్ పట్టు (ఒక తీగ వున్న  వైయోలిన్ )	|	Pulluvan pattu - one stringed violin	|	పుల్లవన్ పట్టు (ఒక తీగ వున్న  వైయోలిన్ )_clue	|		|	
997	|	Indian_Musical_Instruments	|	పుంగ్ 	|	Pung	|	పుంగ్ _clue	|		|	
998	|	Indian_Musical_Instruments	|	పుంగి లేక బీన్ 	|	Pungi or Been	|	పుంగి లేక బీన్ _clue	|		|	
999	|	Indian_Musical_Instruments	|	రామసింగ 	|	Ramsinga	|	రామసింగ _clue	|		|	
1000	|	Indian_Musical_Instruments	|	రావన్ హత 	|	Ravanahatha	|	రావన్ హత _clue	|		|	
1001	|	Indian_Musical_Instruments	|	రుబాబ్ , 	|	Rubab , plucked rabaab	|	రుబాబ్ , _clue	|		|	
1002	|	Indian_Musical_Instruments	|	రుద్ర వీణ 	|	Rudra Veena	|	రుద్ర వీణ _clue	|		|	
1003	|	Indian_Musical_Instruments	|	సంబల్ 	|	Sambal	|	సంబల్ _clue	|		|	
1004	|	Indian_Musical_Instruments	|	శంకర్ జంగ్ 	|	Sankarjang - lithophone	|	శంకర్ జంగ్ _clue	|		|	
1005	|	Indian_Musical_Instruments	|	సంతూర్ 	|	Santoor	|	సంతూర్ _clue	|		|	
1006	|	Indian_Musical_Instruments	|	సరస్వతి వీణ 	|	Saraswati Veena	|	సరస్వతి వీణ _clue	|		|	
1007	|	Indian_Musical_Instruments	|	సరిండ 	|	Sarinda	|	సరిండ _clue	|		|	
1008	|	Indian_Musical_Instruments	|	సరోద్ 	|	Sarod	|	సరోద్ _clue	|		|	
1009	|	Indian_Musical_Instruments	|	షెహనాయి 	|	Shehnai	|	షెహనాయి _clue	|		|	
1010	|	Indian_Musical_Instruments	|	శృతి పెట్టె 	|	Shruti Box	|	శృతి పెట్టె _clue	|		|	
1011	|	Indian_Musical_Instruments	|	శుద్ద మదలం 	|	Shuddha madalam or Maddalam	|	శుద్ద మదలం _clue	|		|	
1012	|	Indian_Musical_Instruments	|	సితార్ 	|	Sitar	|	సితార్ _clue	|		|	
1013	|	Indian_Musical_Instruments	|	శ్రుతి ఉపంగా 	|	Sruti upanga	|	శ్రుతి ఉపంగా _clue	|		|	
1014	|	Indian_Musical_Instruments	|	సుండారి ( సుందరి ) 	|	Sundari	|	సుండారి ( సుందరి ) _clue	|		|	
1015	|	Indian_Musical_Instruments	|	సుర్బహార్ 	|	Surbahar	|	సుర్బహార్ _clue	|		|	
1016	|	Indian_Musical_Instruments	|	సుర్ శ్రింగార్ 	|	Surshringar	|	సుర్ శ్రింగార్ _clue	|		|	
1017	|	Indian_Musical_Instruments	|	స్వర్బత్ 	|	Swarabat	|	స్వర్బత్ _clue	|		|	
1018	|	Indian_Musical_Instruments	|	స్వర్ మండల్ 	|	Swarmandal	|	స్వర్ మండల్ _clue	|		|	
1019	|	Indian_Musical_Instruments	|	తబలా 	|	Tabala / tabl / chameli - goblet drum	|	తబలా _clue	|		|	
1020	|	Indian_Musical_Instruments	|	తబలా 	|	Tabla	|	తబలా _clue	|		|	
1021	|	Indian_Musical_Instruments	|	తబలా తరంగ్ 	|	Tabla tarang - set of tablas	|	తబలా తరంగ్ _clue	|		|	
1022	|	Indian_Musical_Instruments	|	తలమిటర్ 	|	Talameter	|	తలమిటర్ _clue	|		|	
1023	|	Indian_Musical_Instruments	|	టమక్ 	|	Tamak'	|	టమక్ _clue	|		|	
1024	|	Indian_Musical_Instruments	|	తంబురా 	|	Tambura	|	తంబురా _clue	|		|	
1025	|	Indian_Musical_Instruments	|	తంటే 	|	Tamte	|	తంటే _clue	|		|	
1026	|	Indian_Musical_Instruments	|	తంగుమారి 	|	Tangmuri	|	తంగుమారి _clue	|		|	
1027	|	Indian_Musical_Instruments	|	తర్ సెహనాయి 	|	Tar Shehnai	|	తర్ సెహనాయి _clue	|		|	
1028	|	Indian_Musical_Instruments	|	తష 	|	Tasha 	|	తష _clue	|		|	
1029	|	Indian_Musical_Instruments	|	తంతి పనై 	|	Thanthi Panai	|	తంతి పనై _clue	|		|	
1030	|	Indian_Musical_Instruments	|	తట్టుకజి  మన్నై 	|	Thattukazhi mannai	|	తట్టుకజి  మన్నై _clue	|		|	
1031	|	Indian_Musical_Instruments	|	తవిల్ 	|	Thavil	|	తవిల్ _clue	|		|	
1032	|	Indian_Musical_Instruments	|	తిమిల 	|	Thimila	|	తిమిల _clue	|		|	
1033	|	Indian_Musical_Instruments	|	టీట్టీ 	|	Titti	|	టీట్టీ _clue	|		|	
1034	|	Indian_Musical_Instruments	|	తుమ్బక్ 	|	Tumbak , tumbaknari , tumbaknaer	|	తుమ్బక్ _clue	|		|	
1035	|	Indian_Musical_Instruments	|	తుంబి 	|	Tumbi	|	తుంబి _clue	|		|	
1036	|	Indian_Musical_Instruments	|	తుంతునా 	|	Tuntuna	|	తుంతునా _clue	|		|	
1037	|	Indian_Musical_Instruments	|	ఉడుకై 	|	Udukai	|	ఉడుకై _clue	|		|	
1038	|	Indian_Musical_Instruments	|	ఉరుమీ 	|	Urumee	|	ఉరుమీ _clue	|		|	
1039	|	Indian_Musical_Instruments	|	వేణు (కర్నాటిక్ ఫ్లూట్ ) పుల్లన్ ఘుజల్ 	|	Venu (Carnatic flute) Pullanguzhal	|	వేణు (కర్నాటిక్ ఫ్లూట్ ) పుల్లన్ ఘుజల్ _clue	|		|	
1040	|	Indian_Musical_Instruments	|	విచిత్ర వీణ 	|	Vichitra Veena	|	విచిత్ర వీణ _clue	|		|	
1041	|	Indian_Musical_Instruments	|	యాజ్ 	|	Yazh	|	యాజ్ _clue	|		|	
1042	|	Jewelry	|	కడియము	|	anklet	|	కడియము_clue	|		|	
1043	|	Jewelry	|	బాహుపురి	|	armlet	|	బాహుపురి_clue	|		|	
1044	|	Jewelry	|	గాజు	|	bangle	|	గాజు_clue	|		|	
1045	|	Jewelry	|	కంకణము	|	bracelet	|	కంకణము_clue	|		|	
1046	|	Jewelry	|	పమిట పిన్ను	|	brooch	|	పమిట పిన్ను_clue	|		|	
1047	|	Jewelry	|	గొలుసు	|	chain	|	గొలుసు_clue	|		|	
1048	|	Jewelry	|	అడుగుల గొలుసు	|	foot-chain	|	అడుగుల గొలుసు_clue	|		|	
1049	|	Jewelry	|	తల పతకం	|	head locket	|	తల పతకం_clue	|		|	
1050	|	Jewelry	|	ముక్కెర  , ముక్కు పుడక 	|	nosepin	|	ముక్కెర  , ముక్కు పుడక _clue	|		|	
1051	|	Jewelry	|	లాకెట్టు	|	pendant	|	లాకెట్టు_clue	|		|	
1052	|	Jewelry	|	ముత్యాల హారము     	|	string pearls	|	ముత్యాల హారము     _clue	|		|	
1053	|	Jewelry	|	కిరీటము	|	tiara	|	కిరీటము_clue	|		|	
1054	|	Jewelry	|	గడియారము	|	watch	|	గడియారము_clue	|		|	
1055	|	Jewelry	|	చేతి కంకణము 	|	wristlet	|	చేతి కంకణము _clue	|		|	
1056	|	Land Forms	|	చిన్న చిన్న దీవులు గల సముద్రము	|	archipelago	|	చిన్న చిన్న దీవులు గల సముద్రము_clue	|		|	
1057	|	Land Forms	|	అఖాతము	|	bay	|	అఖాతము_clue	|		|	
1058	|	Land Forms	|	తీరము  (రేవు)	|	beach	|	తీరము  (రేవు)_clue	|		|	
1059	|	Land Forms	|	లోతైన కనుమ	|	canyon	|	లోతైన కనుమ_clue	|		|	
1060	|	Land Forms	|	అగ్రము	|	cape	|	అగ్రము_clue	|		|	
1061	|	Land Forms	|	కొండ కాలువ	|	cascade	|	కొండ కాలువ_clue	|		|	
1062	|	Land Forms	|	గుహ (బిళము)	|	cave	|	గుహ (బిళము)_clue	|		|	
1063	|	Land Forms	|	కాలువ	|	channel	|	కాలువ_clue	|		|	
1064	|	Land Forms	|	శిఖరాగ్రము (నిలువు కొండ)	|	cliff 	|	శిఖరాగ్రము (నిలువు కొండ)_clue	|		|	
1065	|	Land Forms	|	సముద్ర తీరము 	|	coast	|	సముద్ర తీరము _clue	|		|	
1066	|	Land Forms	|	సముద్ర జాలము	|	cove  	|	సముద్ర జాలము_clue	|		|	
1067	|	Land Forms	|	కయ్య (చిన్న నది)	|	creek	|	కయ్య (చిన్న నది)_clue	|		|	
1068	|	Land Forms	|	నది రెండు పాయలకు సముద్రానికి మధ్య భూమి	|	delta	|	నది రెండు పాయలకు సముద్రానికి మధ్య భూమి_clue	|		|	
1069	|	Land Forms	|	ఎడారి	|	desert  	|	ఎడారి_clue	|		|	
1070	|	Land Forms	|	ఇసుక తిన్నె	|	dune	|	ఇసుక తిన్నె_clue	|		|	
1071	|	Land Forms	|	ఉప్పు కయ్య	|	estuary	|	ఉప్పు కయ్య_clue	|		|	
1072	|	Land Forms	|	వేడినీట ఊట 	|	geyser	|	వేడినీట ఊట _clue	|		|	
1073	|	Land Forms	|	కొండల వరుస	|	ghat	|	కొండల వరుస_clue	|		|	
1074	|	Land Forms	|	మంచు గడ్డ (హిమనీ నది)	|	glacier	|	మంచు గడ్డ (హిమనీ నది)_clue	|		|	
1075	|	Land Forms	|	ఇరుకు లోయ	|	gorge	|	ఇరుకు లోయ_clue	|		|	
1076	|	Land Forms	|	అఖాతము	|	gulf	|	అఖాతము_clue	|		|	
1077	|	Land Forms	|	దిబ్బ 	|	hill	|	దిబ్బ _clue	|		|	
1078	|	Land Forms	|	మిట్ట	|	hillock	|	మిట్ట_clue	|		|	
1079	|	Land Forms	|	తీర రేఖలోనికి చొచ్చుకొని వచ్చిన సముద్ర శాఖ	|	inlet 	|	తీర రేఖలోనికి చొచ్చుకొని వచ్చిన సముద్ర శాఖ_clue	|		|	
1080	|	Land Forms	|	దీవి (లంక)	|	island	|	దీవి (లంక)_clue	|		|	
1081	|	Land Forms	|	భూ సంధి	|	isthmus	|	భూ సంధి_clue	|		|	
1082	|	Land Forms	|	గుట్ట	|	knoll	|	గుట్ట_clue	|		|	
1083	|	Land Forms	|	లోతులేని మడుగు	|	lagoon	|	లోతులేని మడుగు_clue	|		|	
1084	|	Land Forms	|	సరస్సు	|	lake	|	సరస్సు_clue	|		|	
1085	|	Land Forms	|	భూ ఆకృతులు	|	landforms	|	భూ ఆకృతులు_clue	|		|	
1086	|	Land Forms	|	బురద నేల	|	marsh	|	బురద నేల_clue	|		|	
1087	|	Land Forms	|	కొండ  (పర్వతము)	|	mountain	|	కొండ  (పర్వతము)_clue	|		|	
1088	|	Land Forms	|	ఎడారి ఊట	|	oasis	|	ఎడారి ఊట_clue	|		|	
1089	|	Land Forms	|	మహా సముద్రము	|	ocean	|	మహా సముద్రము_clue	|		|	
1090	|	Land Forms	|	ద్వీప కల్పము	|	peninsula	|	ద్వీప కల్పము_clue	|		|	
1091	|	Land Forms	|	మైదానము	|	plain	|	మైదానము_clue	|		|	
1092	|	Land Forms	|	ఎత్తైన మైదానము	|	plateau	|	ఎత్తైన మైదానము_clue	|		|	
1093	|	Land Forms	|	తటాకము	|	pond	|	తటాకము_clue	|		|	
1094	|	Land Forms	|	పచ్చిక బయలు	|	prairie	|	పచ్చిక బయలు_clue	|		|	
1095	|	Land Forms	|	ఊబి	|	quick sand	|	ఊబి_clue	|		|	
1096	|	Land Forms	|	నది	|	river	|	నది_clue	|		|	
1097	|	Land Forms	|	సముద్రము	|	sea	|	సముద్రము_clue	|		|	
1098	|	Land Forms	|	సముద్రపు ఒడ్డు	|	seashore	|	సముద్రపు ఒడ్డు_clue	|		|	
1099	|	Land Forms	|	జల సంధి	|	strait	|	జల సంధి_clue	|		|	
1100	|	Land Forms	|	చిత్తడి నేల	|	swamp	|	చిత్తడి నేల_clue	|		|	
1101	|	Land Forms	|	ఉపనది 	|	tributary	|	ఉపనది _clue	|		|	
1102	|	Land Forms	|	భూమిమీద మంచుతో కప్పబడిన ఓ ప్రదేశము	|	tundra	|	భూమిమీద మంచుతో కప్పబడిన ఓ ప్రదేశము_clue	|		|	
1103	|	Land Forms	|	సొరంగము	|	tunnel	|	సొరంగము_clue	|		|	
1104	|	Land Forms	|	లోయ	|	valley	|	లోయ_clue	|		|	
1105	|	Land Forms	|	అగ్ని పర్వతము	|	volcano	|	అగ్ని పర్వతము_clue	|		|	
1106	|	Land Forms	|	జలపాతము	|	waterfall	|	జలపాతము_clue	|		|	
1107	|	Land Forms	|	మాగాణి	|	wetland	|	మాగాణి_clue	|		|	
1108	|	Misc	|	దుస్తులు	|	apparel	|	దుస్తులు_clue	|		|	
1109	|	Misc	|	అంచు	|	border	|	అంచు_clue	|		|	
1110	|	Misc	|	కాశ్మీర్ గుడ్డ	|	cashmere	|	కాశ్మీర్ గుడ్డ_clue	|		|	
1111	|	Misc	|	కలంకారి గుడ్డ	|	chintz	|	కలంకారి గుడ్డ_clue	|		|	
1112	|	Misc	|	వదులైన కోటు     	|	cloak	|	వదులైన కోటు     _clue	|		|	
1113	|	Misc	|	బట్టలు	|	clothes	|	బట్టలు_clue	|		|	
1114	|	Misc	|	దుస్తులు	|	costumes	|	దుస్తులు_clue	|		|	
1115	|	Misc	|	చీర అంచు గుడ్డ 	|	fall	|	చీర అంచు గుడ్డ _clue	|		|	
1116	|	Misc	|	సన్నకంబళి	|	flannel	|	సన్నకంబళి_clue	|		|	
1117	|	Misc	|	పట్టు గుడ్డ	|	satin	|	పట్టు గుడ్డ_clue	|		|	
1118	|	Misc	|	దుప్పటి	|	sheet	|	దుప్పటి_clue	|		|	
1119	|	Misc	|	పట్టు గుడ్డ	|	silk	|	పట్టు గుడ్డ_clue	|		|	
1120	|	Ornaments	|	మువ్వలు	|	Anklets	|	మువ్వలు_clue	|		|	
1121	|	Ornaments	|	వంకీలు	|	arm band	|	వంకీలు_clue	|		|	
1122	|	Ornaments	|	గాజులు	|	Bangles	|	గాజులు_clue	|		|	
1123	|	Ornaments	|	కమ్మలు	|	Ear Rings	|	కమ్మలు_clue	|		|	
1124	|	Ornaments	|	బంగారు జడ	|	golden plait	|	బంగారు జడ_clue	|		|	
1125	|	Ornaments	|	లోలాకులు	|	Hangings	|	లోలాకులు_clue	|		|	
1126	|	Ornaments	|	పాపిడి బిళ్ళ	|	headpiece 	|	పాపిడి బిళ్ళ_clue	|		|	
1127	|	Ornaments	|	ఆభరణములు	|	Jewelry	|	ఆభరణములు_clue	|		|	
1128	|	Ornaments	|	హారము	|	Necklace	|	హారము_clue	|		|	
1129	|	Ornaments	|	ముక్కు పుడక	|	Nose Ring	|	ముక్కు పుడక_clue	|		|	
1130	|	Ornaments	|	ఉంగరము	|	Ring	|	ఉంగరము_clue	|		|	
1131	|	Ornaments	|	మట్టెలు	|	Toe Ring	|	మట్టెలు_clue	|		|	
1132	|	Ornaments	|	వడ్రాణము	|	waist band / belt	|	వడ్రాణము_clue	|		|	
1133	|	Professions	|	వాస్తుశిల్పి	|	architect	|	వాస్తుశిల్పి_clue	|		|	
1134	|	Professions	|	కళాకారుడు	|	artist	|	కళాకారుడు_clue	|		|	
1135	|	Professions	|	రచయిత	|	author/writer	|	రచయిత_clue	|		|	
1136	|	Professions	|	రొట్టెలుకాల్చేవాడు	|	baker	|	రొట్టెలుకాల్చేవాడు_clue	|		|	
1137	|	Professions	|	మంగలి	|	barber	|	మంగలి_clue	|		|	
1138	|	Professions	|	కమ్మరి	|	blacksmith	|	కమ్మరి_clue	|		|	
1139	|	Professions	|	కసాయి వాడు 	|	butcher	|	కసాయి వాడు _clue	|		|	
1140	|	Professions	|	వడ్రంగి	|	carpenter	|	వడ్రంగి_clue	|		|	
1141	|	Professions	|	రసాయన శాస్త్రవేత్త	|	Chemist	|	రసాయన శాస్త్రవేత్త_clue	|		|	
1142	|	Professions	|	శిక్షకుడు	|	coach	|	శిక్షకుడు_clue	|		|	
1143	|	Professions	|	నర్తకి   	|	dancer	|	నర్తకి   _clue	|		|	
1144	|	Professions	|	రాయబారి 	|	dioplomat	|	రాయబారి _clue	|		|	
1145	|	Professions	|	డైరెక్టర్ 	|	director 	|	డైరెక్టర్ _clue	|		|	
1146	|	Professions	|	వైద్యుడు 	|	Doctor	|	వైద్యుడు _clue	|		|	
1147	|	Professions	|	రైతు	|	farmer	|	రైతు_clue	|		|	
1148	|	Professions	|	అగ్నియోధుడు	|	firefighter	|	అగ్నియోధుడు_clue	|		|	
1149	|	Professions	|	ప్రధానోపాద్యాయుడు 	|	head master	|	ప్రధానోపాద్యాయుడు _clue	|		|	
1150	|	Professions	|	చరిత్రకారుడు	|	historian	|	చరిత్రకారుడు_clue	|		|	
1151	|	Professions	|	న్యాయమూర్తి	|	judge	|	న్యాయమూర్తి_clue	|		|	
1152	|	Professions	|	న్యాయవాది 	|	lawyer	|	న్యాయవాది _clue	|		|	
1153	|	Professions	|	పుస్తక సంగ్రాహకుడు 	|	librarian	|	పుస్తక సంగ్రాహకుడు _clue	|		|	
1154	|	Professions	|	కార్య నిర్వాహకుడు 	|	manager	|	కార్య నిర్వాహకుడు _clue	|		|	
1155	|	Professions	|	గణితశాస్త్రజ్ఞుడు	|	mathematician	|	గణితశాస్త్రజ్ఞుడు_clue	|		|	
1156	|	Professions	|	సంగీతకారుడు   	|	musician	|	సంగీతకారుడు   _clue	|		|	
1157	|	Professions	|	ఔషధవేత్త  	|	pharmacist	|	ఔషధవేత్త  _clue	|		|	
1158	|	Professions	|	ఛాయాగ్రాహకుడు	|	photographer	|	ఛాయాగ్రాహకుడు_clue	|		|	
1159	|	Professions	|	వైద్యుడు	|	physician	|	వైద్యుడు_clue	|		|	
1160	|	Professions	|	పోలీస్ అధికారి	|	police officer	|	పోలీస్ అధికారి_clue	|		|	
1161	|	Professions	|	ప్రొడ్యూసర్ 	|	producer	|	ప్రొడ్యూసర్ _clue	|		|	
1162	|	Professions	|	వృత్తులు  	|	Professions  	|	వృత్తులు  _clue	|		|	
1163	|	Professions	|	ఉపాధ్యాయుడు	|	professor	|	ఉపాధ్యాయుడు_clue	|		|	
1164	|	Professions	|	మనస్తత్వవేత్త	|	psychologist	|	మనస్తత్వవేత్త_clue	|		|	
1165	|	Professions	|	విలేఖరి	|	reporter	|	విలేఖరి_clue	|		|	
1166	|	Professions	|	 శాస్త్రవేత్త 	|	scientist 	|	 శాస్త్రవేత్త _clue	|		|	
1167	|	Professions	|	గూఢచారి	|	secret agent	|	గూఢచారి_clue	|		|	
1168	|	Professions	|	కార్యదర్శి 	|	secretary	|	కార్యదర్శి _clue	|		|	
1169	|	Professions	|	పాటగాడు 	|	Singer 	|	పాటగాడు _clue	|		|	
1170	|	Professions	|	గురువు	|	teacher	|	గురువు_clue	|		|	
1171	|	Professions	|	 అనువాదకుడు	|	translator 	|	 అనువాదకుడు_clue	|		|	
1172	|	Professions	|	పశు వైద్యుడు	|	veterinarian	|	పశు వైద్యుడు_clue	|		|	
1173	|	Professions	|	పనివాడు 	|	worker 	|	పనివాడు _clue	|		|	
1174	|	Professions	|	జంతుశాస్త్రజ్ఞుడు	|	zoolosit	|	జంతుశాస్త్రజ్ఞుడు_clue	|		|	
1175	|	Traditional_Games_of_AP	|	అచ్చంగాయలు 	|	achchMgaayalu	|	అచ్చంగాయలు _clue	|		|	
1176	|	Traditional_Games_of_AP	|	అష్టా చెమ్మ	|	ashTaa chemmaa	|	అష్టా చెమ్మ_clue	|		|	
1177	|	Traditional_Games_of_AP	|	బచ్చాలాట 	|	bachchaalaaTa	|	బచ్చాలాట _clue	|		|	
1178	|	Traditional_Games_of_AP	|	బొమ్మ బొరుసు 	|	bomma borusu	|	బొమ్మ బొరుసు _clue	|		|	
1179	|	Traditional_Games_of_AP	|	బొమ్మల కొలువు 	|	bommala koluvu	|	బొమ్మల కొలువు _clue	|		|	
1180	|	Traditional_Games_of_AP	|	బొమ్మల పెళ్లి 	|	bommala peLLi	|	బొమ్మల పెళ్లి _clue	|		|	
1181	|	Traditional_Games_of_AP	|	చెండాట 	|	cheMDaaTa	|	చెండాట _clue	|		|	
1182	|	Traditional_Games_of_AP	|	చెమ్మ చెక్క 	|	chemma chekka	|	చెమ్మ చెక్క _clue	|		|	
1183	|	Traditional_Games_of_AP	|	ఛుక్ ఛుక్ రైలు 	|	cHuk cHuk pulla	|	ఛుక్ ఛుక్ రైలు _clue	|		|	
1184	|	Traditional_Games_of_AP	|	దాడి	|	daaDi	|	దాడి_clue	|		|	
1185	|	Traditional_Games_of_AP	|	దాగుడు మూతలు	|	daaguDu muutalu	|	దాగుడు మూతలు_clue	|		|	
1186	|	Traditional_Games_of_AP	|	ఏడు  పెంకులాట 	|	eeDu peMkulaaTa	|	ఏడు  పెంకులాట _clue	|		|	
1187	|	Traditional_Games_of_AP	|	గవ్వలు  	|	gavvalu	|	గవ్వలు  _clue	|		|	
1188	|	Traditional_Games_of_AP	|	గోలీలు 	|	gooliilu	|	గోలీలు _clue	|		|	
1189	|	Traditional_Games_of_AP	|	గుడు గుడు గుంజం	|	guDu guDu guMjaM	|	గుడు గుడు గుంజం_clue	|		|	
1190	|	Traditional_Games_of_AP	|	గుజ్జన గుళ్ళు 	|	gujjana guuLLu	|	గుజ్జన గుళ్ళు _clue	|		|	
1191	|	Traditional_Games_of_AP	|	ఇసుకలో పుల్ల	|	isukalo pulla	|	ఇసుకలో పుల్ల_clue	|		|	
1192	|	Traditional_Games_of_AP	|	కబడ్డీ 	|	Kabaddi	|	కబడ్డీ _clue	|		|	
1193	|	Traditional_Games_of_AP	|	కాళ్ళ గజ్జా 	|	Kalla Gajja	|	కాళ్ళ గజ్జా _clue	|		|	
1194	|	Traditional_Games_of_AP	|	కప్ప గంతులు	|	kappa gaMtulu	|	కప్ప గంతులు_clue	|		|	
1195	|	Traditional_Games_of_AP	|	కర్ర బిళ్ళ 	|	karra biLLa	|	కర్ర బిళ్ళ _clue	|		|	
1196	|	Traditional_Games_of_AP	|	కిరికి 	|	kiriki	|	కిరికి _clue	|		|	
1197	|	Traditional_Games_of_AP	|	కో కో 	|	Ko-Ko	|	కో కో _clue	|		|	
1198	|	Traditional_Games_of_AP	|	కోతి  కొమ్మచ్చి	|	kooti kommachchi	|	కోతి  కొమ్మచ్చి_clue	|		|	
1199	|	Traditional_Games_of_AP	|	లండన్ ఆట 	|	laMdan aaTa	|	లండన్ ఆట _clue	|		|	
1200	|	Traditional_Games_of_AP	|	నాలుగు రాళ్ళ ఆట 	|	naalugu raaLLa aaTa	|	నాలుగు రాళ్ళ ఆట _clue	|		|	
1201	|	Traditional_Games_of_AP	|	నాలుగు స్తంభాలాట 	|	naalugu staMbaalaaTa	|	నాలుగు స్తంభాలాట _clue	|		|	
1202	|	Traditional_Games_of_AP	|	నేల బండ 	|	neela baMDaa	|	నేల బండ _clue	|		|	
1203	|	Traditional_Games_of_AP	|	వొప్పుల  గుప్ప 	|	Oppula Guppa	|	వొప్పుల  గుప్ప _clue	|		|	
1204	|	Traditional_Games_of_AP	|	పచ్చీస్ 	|	Pachees	|	పచ్చీస్ _clue	|		|	
1205	|	Traditional_Games_of_AP	|	పులి జూదము 	|	puli juudam	|	పులి జూదము _clue	|		|	
1206	|	Traditional_Games_of_AP	|	రాముడు సీత      	|	raamuDu siita	|	రాముడు సీత      _clue	|		|	
1207	|	Traditional_Games_of_AP	|	తొక్కుడు బిళ్ళ 	|	tokkuDu biLLa	|	తొక్కుడు బిళ్ళ _clue	|		|	
1208	|	Traditional_Games_of_AP	|	వామన గుంటలు 	|	vaamana guMTalu	|	వామన గుంటలు _clue	|		|	
1209	|	Traditional_Games_of_AP	|	వైకుంఠపాళి 	|	vaikuMThapaaLi	|	వైకుంఠపాళి _clue	|		|	
1210	|	Traditional_Games_of_AP	|	వంగుల దూకుళ్ళు 	|	vaMgula duukuLLu	|	వంగుల దూకుళ్ళు _clue	|		|	
1211	|	Transportation	|	విమానము	|	Airplane	|	విమానము_clue	|		|	
1212	|	Transportation	|	ఆటో రిక్షా	|	Auto Rickshaw	|	ఆటో రిక్షా_clue	|		|	
1213	|	Transportation	|	ఎద్దుల బండి	|	Bullock Cart 	|	ఎద్దుల బండి_clue	|		|	
1214	|	Transportation	|	కారు	|	Car`	|	కారు_clue	|		|	
1215	|	Transportation	|	నావ	|	Catamaran	|	నావ_clue	|		|	
1216	|	Transportation	|	రథము	|	Chariot	|	రథము_clue	|		|	
1217	|	Transportation	|	సైకిలు	|	Cycle	|	సైకిలు_clue	|		|	
1218	|	Transportation	|	సైకిల్ రిక్షా	|	Cycle Rickshaw	|	సైకిల్ రిక్షా_clue	|		|	
1219	|	Transportation	|	గుర్రపుబండి	|	Horse cart	|	గుర్రపుబండి_clue	|		|	
1220	|	Transportation	|	లాంచీ	|	Motor Boat	|	లాంచీ_clue	|		|	
1221	|	Transportation	|	మోటారు సైకిలు	|	Motorcycle	|	మోటారు సైకిలు_clue	|		|	
1222	|	Transportation	|	పల్లకి	|	Palanquin	|	పల్లకి_clue	|		|	
1223	|	Transportation	|	స్కూలు బస్సు	|	School Bus 	|	స్కూలు బస్సు_clue	|		|	
1224	|	Transportation	|	ఓడ	|	ship	|	ఓడ_clue	|		|	
1225	|	Transportation	|	ట్రాక్టరు	|	Tractor 	|	ట్రాక్టరు_clue	|		|	
1226	|	Transportation	|	రైలు	|	Train	|	రైలు_clue	|		|	
1227	|	Trees and Plants	|	నల్ల తుమ్మ	|	acacia	|	నల్ల తుమ్మ_clue	|		|	
1228	|	Trees and Plants	|	అకోరా చెట్టు	|	acora tree	|	అకోరా చెట్టు_clue	|		|	
1229	|	Trees and Plants	|	పొన్న చెట్టు	|	alexandria	|	పొన్న చెట్టు_clue	|		|	
1230	|	Trees and Plants	|	బాదం చెట్టు	|	almond tree	|	బాదం చెట్టు_clue	|		|	
1231	|	Trees and Plants	|	సీతాఫలం	|	anona	|	సీతాఫలం_clue	|		|	
1232	|	Trees and Plants	|	పోక చెట్టు	|	arecanut	|	పోక చెట్టు_clue	|		|	
1233	|	Trees and Plants	|	అశోక చెట్టు	|	asoka	|	అశోక చెట్టు_clue	|		|	
